CCN,PC1_T,PC1_M,PC1_B,PC1_L,CW2_T,CW2_M,CW2_B,CW2_L,OR_T,OR_M,OR_B,OR_L,PWR_T,PWR_M,PWR_B,PWR_L,footnotes,Sample,Comp,RR,Start,End
45C0001513,97,3,0,99,92,7,1,96,86,13,1,94,85,14,1,94,,1226,268,22,10/1/2016,9/30/2017
45C0001522,97,3,0,98,90,9,1,94,89,9,2,95,88,9,3,95,,1287,459,36,10/1/2016,9/30/2017
45C0001536,,,,,,,,,,,,,,,,,4,,,,,
45C0001570,97,3,0,98,93,5,2,95,95,4,1,97,92,7,1,97,,1134,315,28,10/1/2016,9/30/2017
45C0001597,,,,,,,,,,,,,,,,,4,,,,,
45C0001607,,,,,,,,,,,,,,,,,4,,,,,
46C0001003,,,,,,,,,,,,,,,,,4,,,,,
46C0001004,,,,,,,,,,,,,,,,,4,,,,,
49C0001009,,,,,,,,,,,,,,,,,4,,,,,
49C0001017,,,,,,,,,,,,,,,,,4,,,,,
49C0001025,96,3,1,98,86,11,3,92,83,17,0,94,88,11,1,96,,1213,276,23,10/1/2016,9/30/2017
49C0001034,98,2,0,99,92,7,1,95,83,16,1,93,82,16,2,93,,1466,447,30,10/1/2016,9/30/2017
49C0001044,97,3,0,99,92,6,2,95,89,10,1,95,89,9,2,95,,1626,495,30,10/1/2016,9/30/2017
49C0001047,97,3,0,98,93,6,1,96,90,8,2,95,88,10,2,95,,1303,457,35,10/1/2016,9/30/2017
49C0001049,96,4,0,98,92,6,2,95,86,12,2,94,87,12,1,95,,1732,577,33,10/1/2016,9/30/2017
50C0001048,,,,,,,,,,,,,,,,,4,,,,,
50C0001280,,,,,,,,,,,,,,,,,4,,,,,
52C0001005,,,,,,,,,,,,,,,,,4,,,,,
52C0001011,,,,,,,,,,,,,,,,,4,,,,,
53C0001010,98,2,0,99,90,9,1,94,89,10,1,95,91,9,0,97,,1196,367,31,10/1/2016,9/30/2017
55C0001001,98,2,0,99,91,7,2,95,91,7,2,96,90,9,1,96,,2028,510,25,10/1/2016,9/30/2017
55C0001055,95,4,1,97,90,8,2,94,83,13,4,93,82,15,3,92,,1310,397,30,10/1/2016,9/30/2017
55C0001083,96,3,1,98,88,10,2,93,84,13,3,93,82,16,2,93,,3364,1098,33,10/1/2016,9/30/2017
